zz_kbcx_courseNumber,zzm_courseTitle_noEdit,zzd_semester,zzd_year,zzd_keywords,zze_courseURL
1.061,Transport Processes in the Environment,Fall,2008,mass transport; environmental flows; rivers; lakes; water flow; derivation; diffusion; turbulence; boundary layers; dissolution; bed-water exchange; air-water exchange; particle transport; conservation of mass; scaling; aquatic systems; advection; instantaneous point source; dispersion; transport,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-061-transport-processes-in-the-environment-fall-2008
1.101,Introduction to Civil and Environmental Engineering Design I,Fall,2005,design; water resources; water treatment; structures; structural design; fabrication; testing; hardware; laboratory experiments; pH; neutralization; hydraulic conductivity; porosity; truss; tension; beam bending; beam buckling; thermal design; heating; cooling; thermal infrared camera; thermal IR imaging; heat loss,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-101-introduction-to-civil-and-environmental-engineering-design-i-fall-2005
1.101,Introduction to Civil and Environmental Engineering Design I,Fall,2006,design; water resources; water treatment; structures; structural design; fabrication; testing; hardware; laboratory experiments; pH; neutralization; hydraulic conductivity; porosity; truss; tension; beam bending; beam buckling; thermal design; heating; cooling; thermal infrared camera; thermal IR imaging; heat loss,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-101-introduction-to-civil-and-environmental-engineering-design-i-fall-2006
1.103,Civil Engineering Materials Laboratory,Spring,2004,"materials laboratory; load-deformation characteristics; failure modes; experiments;  data collection, data analysis; tension; elastic behavior; direct shear; friction; concrete; early age properties; compression; directionality; soil classification; consolidation test; heat treatment",https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-103-civil-engineering-materials-laboratory-spring-2004
1.105,Solid Mechanics Laboratory,Fall,2003,properties of structural materials; structural elements; structural systems; experimental technique; data collection; reduction; analysis; presentation;,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-105-solid-mechanics-laboratory-fall-2003
1.133,M.Eng. Concepts of Engineering Practice,Fall,2007,professional engineer; team-building skills; lectures; team workshops; seminars; written communication; oral communication; job placement skills; trends in engineering; trends in construction industry; risk analysis; risk management; proposal preparation; request for proposal; small business; professional registration; project evaluation; project management; liability; professional ethics; negotiation;,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-133-masters-of-engineering-concepts-of-engineering-practice-fall-2007
1.151,Probability and Statistics in Engineering,Spring,2005,fundamentals of probability; random processes; statistics; decision analysis; random variables and vectors; uncertainty propagation; conditional distributions; second-moment analysis; system reliability; Bayesian analysis and risk-based decision; estimation of distribution parameters; hypothesis testing; simple and multiple linear regressions; Poisson and Markov processes,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-151-probability-and-statistics-in-engineering-spring-2005
1.204,Computer Algorithms in Systems Engineering,Spring,2010,databases; data structures; divide and conquer algorithm; greedy algorithm; dynamic programming; branch and bound; linear optimization; nonlinear optimization; approximate queues; network designs,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-204-computer-algorithms-in-systems-engineering-spring-2010
1.322,Soil Behavior,Spring,2005,soil; soil composition; clay; interparticle forces; soil strength; laddite; Hvorslev parameters; plasticity; stress history; consol; conductivity; compression; consolidation; problem soils; sands,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-322-soil-behavior-spring-2005
1.34,Waste Containment and Remediation Technology,Spring,2004,"waste containment, waste remediation, soil remediation, groundwater remediation, contaminated site, contamination, waste disposal, mass transport, Superfund, EPA, USGS, air sparging, air stripper, bioremediation, soil vapor extraction, SVE, pump and treat, landfill, leachate, chlorinated solvent, NAPL, LNAPL, DNAPL, TCE, PCE, risk assessment, soil liner, clay liner, geomembrane, brownfield, remediation technologies",https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-34-waste-containment-and-remediation-technology-spring-2004
1.361,Advanced Soil Mechanics,Fall,2004,soil; origin and nature of soils; soil classification; effective stress principle; hydraulic conductivity and seepage; stress-strain-strength behavior of cohesionless and cohesive soils and application to lateral earth stresses; bearing capacity and slope stability; consolidation theory; settlement analyses; laboratory methods; soil properties; design practice,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-361-advanced-soil-mechanics-fall-2004
1.364,Advanced Geotechnical Engineering,Fall,2003,"geotechnical engineering, soil, soil mechanics, foundations, earth retaining structures, site investigation, ultimate limit, serviceability limit, soil improvement, gravity walls, composite construction, reinforced earth, structural support, excavations, bracing, tieback anchors, tiebacks, safety factors, boreholes, soil sampling, stratigraphy, SPT, FV, PCPT, spread foundation design, in situ tests, bearing capacity, strength parameters, allowable settlements, sand, clay, soil-structure interaction, pile types, pile selection, pile behavior, pile capacity, pile driving, pile load tests, slope stability, cantilevers, propper walls, braced excavations, reinforced soil, soil nailing, geosynthetic reinforcement",https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-364-advanced-geotechnical-engineering-fall-2003
1.46,Strategic Management in the Design and Construction Value Chain,Fall,2003,strategic management; value chain; construction; strategic planning; real estate; industry analysis; information technology; case method; case study,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-46-strategic-management-in-the-design-and-construction-value-chain-fall-2003
1.464,E-Commerce and the Internet in Real Estate and Construction,Spring,2004,e-commerce; Internet; real estate; construction; information technology; business strategy; supply chain; risk allocation; contract obligations; consolidation; information transparency; case method; case study,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-464-e-commerce-and-the-internet-in-real-estate-and-construction-spring-2004
1.561,Motion Based Design,Fall,2003,preliminary design; motion-sensitive structures; analytical techniques; numerical techniques; optimal stiffness distribution;  damping; controlling motion; tuned mass dampers; base isolation systems; active structural control; building structures; wind excitation; seismic excitation,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-561-motion-based-design-fall-2003
1.571,Structural Analysis and Control,Spring,2004,structural analysis; structures; large-scale structural systems; modeling; tall buildings; cable-stayed bridges; tension structures; active structural control; feedback control systems; civil structures; simulations,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-571-structural-analysis-and-control-spring-2004
1.63,Advanced Fluid Dynamics of the Environment,Fall,2002,"fluid dynamics, fluid motion, Cartesian tensor convention, scaling, approximations, slow flow, Stokes flow, Oseen, spreading, gravity,   stratified fluid, boundary layer, high speed
flow, jets, thermal plume, pure fluids,
porous media, similarity method of solution, transient boundary layer, buoyancy,
convection. porous media, dispersion, hydrodynamic instability, Kelvin-Helmholtz instability, shear, stratification, Orr-Sommerfeld, capillary phenomena, bubbles, drops, Marangoni instability, contact lines, geophysical fluid dynamics,  coastal flows, wind-induced flows, coastal upwelling",https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-63-advanced-fluid-dynamics-of-the-environment-fall-2002
1.72,Groundwater Hydrology,Fall,2005,D'arcy equation; flow nets; mass conservation; the aquifer flow equation; heterogeneity and anisotropy; storage properties; regional circulation; unsaturated flow; recharge; stream-aquifer interaction; well hydraulics; flow through fractured rock; numerical models; groundwater quality; contaminant transport processes; dispersion; decay; adsorption;,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-72-groundwater-hydrology-fall-2005
1.731,Water Resource Systems,Fall,2006,"water resources, river basin development, flood control, water supply, groundwater remediation, simulation, optimization, hydrology",https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-731-water-resource-systems-fall-2006
1.74,"Land, Water, Food, and Climate",Fall,2020,"land resources
water resources
food security
climate change
food production
natural resources
agriculture
agro-ecology
biotechnology
demography",https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-74-land-water-food-and-climate-fall-2020
1.76,Aquatic Chemistry,Fall,2005,water; aquatic; seawater; carbonate; trace metals; woods hole; acid-base; complexation; precipitation-dissolution; reduction-oxidation; chemical kinetics; equilibrium composition; approximation techniques; ,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-76-aquatic-chemistry-fall-2005
1.77,Water Quality Control,Spring,2006,water quality control; mathematical models; effluents; lakes; reservoirs; rivers; estuaries; oceans; element cycles; water quality indicators; offshore outfalls; diffusion; salinity intrusion; thermal stratification; eutrophication; sedimentation processes,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-77-water-quality-control-spring-2006
1.782,Environmental Engineering MEng Project,Fall,2003,civil engineering; environmental engineering; professional practice; methodology; thesis; proposal; yonder; geotechnical data; water treatment; aquifer; groundwater; hydrology; Chattahoochee; Tennessee; US Virgin Islands; pollution; contaminants; drinking water,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-782-environmental-engineering-masters-of-engineering-project-fall-2003-spring-2004
1.782,Environmental Engineering Masters of Engineering Project,Fall,2007,civil engineering; environmental engineering; professional practice; methodology; thesis; proposal; request for proposal; water treatment; aquifer; groundwater; hydrology; Ghana; Thailand; Honduras; pollution; contaminants; drinking water; refugee camp; sanitation; water filtration; guinea worm; biosand filter; horizontal roughing filter; ,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-782-environmental-engineering-masters-of-engineering-project-fall-2007-spring-2008
1.85,Water and Wastewater Treatment Engineering,Spring,2006,"water pollution; wastewater treatment; chemical treatment; gas transfer, reactor tanks; water quality; trickling filters; sludge handling; wastewater screening",https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-85-water-and-wastewater-treatment-engineering-spring-2006
1.89,Environmental Microbiology,Fall,2004,microorganisms; nature; environment;  cellular architecture; energetics; growth; evolution; gene flow; population and community dynamics; water and soil microbiology; biogeochemical cycling; microorganisms; biodeterioration; bioremediation;,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-89-environmental-microbiology-fall-2004
1.963,Environmental Engineering Applications of Geographic Information Systems,Fall,2004,GIS; Spatial Database Management; Geographic Information Systems; ArcView; census; SQL; databases; cartography; community planning; spatial analysis; wetlands management; data types; map-making; data mapping; hydrology; environmental engineering; deepwater habitats; salinization;,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-963-environmental-engineering-applications-of-geographic-information-systems-fall-2004
1.963,A Sustainable Transportation Plan for MIT,Spring,2007,sustainable transportation; shuttle; MBTA; bus; subway; commuter rail; parking; subsidy; Universal pass; underground parking; garage; parking lots; leased parking; MIT campus,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-963-a-sustainable-transportation-plan-for-mit-spring-2007
1.964,Design for Sustainability,Fall,2006,sustainability; engineering; built environment; life-cycle assessment; LCA; product impact; product life cycle; infrastructure; computational methods; water; wastewater; energy; materials; construction;,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-964-design-for-sustainability-fall-2006
1.978,From Nano to Macro: Introduction to Atomistic Modeling Techniques,IAP,2007,"large-scale atomistic
modeling techniques; modern
engineering sciences; atomistic
modeling; extreme loading; ductile and brittle materials failure; molecular dynamics; simulations; Cauchy-Born rule; biomechanics; biomaterials; copper nanocrystal; nanomechanics; material mechanics",https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-978-from-nano-to-macro-introduction-to-atomistic-modeling-techniques-january-iap-2007
2.000,How and Why Machines Work,Spring,2002,"machines, conceived, developed, drawn, hands-on experience, sketching, 3D CAD, field trips, physics, history",https://ocw.mit.edu/courses/mechanical-engineering/2-000-how-and-why-machines-work-spring-2002
2.001,Mechanics & Materials I,Fall,2006,"statics; pressure;deformation; deformable solid;equilibrium; geometric compatibility; material behavior; stress; strain; shear; elasticity; thermal expansion; failure modes; biomechanics, natural materials; motion; structure; force; moment; member; truss; friction; torsion; bending; displacement; beam;",https://ocw.mit.edu/courses/mechanical-engineering/2-001-mechanics-materials-i-fall-2006
2.002,Mechanics and Materials II,Spring,2004,beam bending; buckling; vibration; polymers; viscoelasticity; strength; ductility; stress; stress concentration; sheet bending; heat treatment; fracture; plasticity; creep; fatigue; solid materials; mechanical loading; thermal loading; design-limiting behavior; stiffness; toughness; durability; engineering materials;  materials-limiting problem; materials selection,https://ocw.mit.edu/courses/mechanical-engineering/2-002-mechanics-and-materials-ii-spring-2004
2.003,Modeling Dynamics and Control I,Spring,2005,modeling; analysis; control; dynamic; systems; mechanical; translation; uniaxial; rotation; electrical; circuits; coupling; levers; gears; electro-mechanical; devices; linear; differential; equations; state-determined; Laplace; transforms; transfer; functions; frequency; response; Bode; vibrations; modal; open-loop; closed-loop; control; instability; time-domain; controller; frequency-domain,https://ocw.mit.edu/courses/mechanical-engineering/2-003-modeling-dynamics-and-control-i-spring-2005
2.004,Modeling Dynamics and Control II,Spring,2003,"Kinematics, dynamics of mechanical systems, Linear and angular momentum principles, Linearization about equilibrium, Integral and derivative action, lead and lag compensators. Root-locus design methods. Frequency-domain design methods. multi-domain systems.",https://ocw.mit.edu/courses/mechanical-engineering/2-004-modeling-dynamics-and-control-ii-spring-2003
2.004,"Systems, Modeling, and Control II",Fall,2007,Laplace transform; transform function; electrical and mechanical systems; pole-zero diagram; linearization; block diagrams; feedback control systems; stability; root-locus plot; compensation; Bode plot; state space representation; minimum time;,https://ocw.mit.edu/courses/mechanical-engineering/2-004-systems-modeling-and-control-ii-fall-2007
2.004,Dynamics and Control II,Spring,2008,Laplace transform; transform function; electrical and mechanical systems; pole-zero diagram; linearization; block diagrams; feedback control systems; stability; root-locus plot; compensation; Bode plot; state space representation; minimum time;,https://ocw.mit.edu/courses/mechanical-engineering/2-004-dynamics-and-control-ii-spring-2008
2.007,Design and Manufacturing I,Spring,2009,"engineering design, synthesis, analysis, robustness, manufacturability, active learning, idea generation, estimation, materials selection, visual thinking, kinematics, machine elements, robotics, mechanical engineering, student work, contest",https://ocw.mit.edu/courses/mechanical-engineering/2-007-design-and-manufacturing-i-spring-2009
2.008,Design and Manufacturing II,Spring,2003,"manufacturing enterprises, physics, stochastic nature of manufacturing processes, quality, rate, cost, flexibility, process physics, process control",https://ocw.mit.edu/courses/mechanical-engineering/2-008-design-and-manufacturing-ii-spring-2003
2.008,Design and Manufacturing II,Spring,2004,modern manufacturing; manufacturing processes;  equipment/control; systems;  design for manufacturing; integration of engineering and management disciplines; manufacturing rate; cost; quality; flexibility; process physics; equipment design; automation/control; quality; design for manufacturing; industrial management; systems design and operation,https://ocw.mit.edu/courses/mechanical-engineering/2-008-design-and-manufacturing-ii-spring-2004
2.009,Product Engineering Process,Fall,2021,"product design
product engineering
innovation
design teams
team dynamics
product development
opportunity identification
market research
mock-ups
prototypes
new product opportunities
sketch models",https://ocw.mit.edu/courses/mechanical-engineering/2-009-product-engineering-process-fall-2021/
2.011,Introduction to Ocean Science and Engineering,Spring,2006,"oceanography, physical oceanography, ocean circulation, geostrophic flow, surface wave, wave velocity, propagation phenomena, ocean acoustics, sonar, submarine, submersible, marine, marine science, ship, boat, marine animal, undersea, ROV, current, vortex, turbulence",https://ocw.mit.edu/courses/mechanical-engineering/2-011-introduction-to-ocean-science-and-engineering-spring-2006
2.016,Hydrodynamics,Fall,2005,fluid mechanics; mass; momentum; energy; lift; drag; laminar; turbulent; turbulence; wave; waves; surface waves; current; water; ocean; force; sea; sea wave; ship; propulsion; propeller; fish; swimming; wind; VIV; vortex induced vibration; Bernoulli; D'Allembert; hydrostatics; fluid dynamics,https://ocw.mit.edu/courses/mechanical-engineering/2-016-hydrodynamics-13-012-fall-2005
2.019,Design of Ocean Systems,Spring,2011,"ocean environment, seakeeping, hydrodynamics, mooring dynamics, propulsion and power, structural dynamics, manufacturing and fabrication, floating offshore structures, design process, group dynamics, ethics in engineering practice",https://ocw.mit.edu/courses/mechanical-engineering/2-019-design-of-ocean-systems-spring-2011
2.032,Dynamics,Fall,2004,"motion; momentum; work-energy principle; degrees of freedom; Lagrange's equations; D'Alembert's principle; Hamilton's principle; gyroscope; gyroscopic effect; steady motions; nature of small deviations; natural modes, natural frequencies for continuous and lumped parameter systems, mode shapes; forced vibrations; dynamic stability theory; instability.",https://ocw.mit.edu/courses/mechanical-engineering/2-032-dynamics-fall-2004
2.035,Special Topics in Mathematics with Applications: Linear Algebra and the Calculus of Variations,Spring,2007,"calculus of variations, linear algebra, solid mechanics, fluid mechanics, energy methods, microstructures of crystalline solids",https://ocw.mit.edu/courses/mechanical-engineering/2-035-special-topics-in-mathematics-with-applications-linear-algebra-and-the-calculus-of-variations-spring-2007
2.051,Introduction to Heat Transfer,Fall,2015,"Conduction, Convection,Radiation, Fourier Law, Energy Balance ,
First law of thermodynamics,
Thermal resistance network, Thermal Energy Generation, Fins, Heat Transfer in Fins, ",https://ocw.mit.edu/courses/mechanical-engineering/2-051-introduction-to-heat-transfer-fall-2015
2.06,Fluid Dynamics,Spring,2013,"fluid, dynamics, mechanics, engineering, flow, aerodynamics, surface, wave, hydrostatic, buoyancy, viscous, viscosity, lift, drag, physics, ",https://ocw.mit.edu/courses/mechanical-engineering/2-06-fluid-dynamics-spring-2013
2.067,Advanced Structural Dynamics and Acoustics (13.811),Spring,2004,3D elasticity; wave equations; elastic wave; plastic wave; plates; shells; cylindrical shells; submerged plates and shells; high-intensity load; dynamic plasticity; fracture; implosive load;impact load.,https://ocw.mit.edu/courses/mechanical-engineering/2-067-advanced-structural-dynamics-and-acoustics-13-811-spring-2004
2.068,Computational Ocean Acoustics (13.853),Spring,2003,Wave equations; fluid and visco-elastic media; Wave-theory formulations; acoustic source radiation; seismo-acoustic propagation; stratified ocean waveguides; Wavenumber Integration; Normal Mode; propagation in plane-stratified media; Seismo-Acoustic modeling; Seismic interface; surface waves; stratified seabed; Parabolic Equation; Coupled Mode; range-dependent ocean waveguides; Numerical modeling; target scattering; reverberation clutter; Ocean ambient noise modeling,https://ocw.mit.edu/courses/mechanical-engineering/2-068-computational-ocean-acoustics-13-853-spring-2003
2.082,Ship Structural Analysis & Design (13.122),Spring,2003,"ships, offshore structures, structural mechanics, Hydrostatic loading, shear load, bending moment, ship structural design concepts, superstructures, primary strength, transverse shear stresses, torsional strength, Failure mechanisms, design limit states, plastic analysis. Matrix stiffness, grillage, finite element analysis",https://ocw.mit.edu/courses/mechanical-engineering/2-082-ship-structural-analysis-design-13-122-spring-2003
2.086,Numerical Computation for Mechanical Engineers,Fall,2012,MATLAB; numerical analysis; programming; physical modeling; calculus; linear algebra; Monte Carlo Method; differential equations; nonlinear systemst',https://ocw.mit.edu/courses/mechanical-engineering/2-086-numerical-computation-for-mechanical-engineers-fall-2012
2.086,Numerical Computation for Mechanical Engineers,Spring,2013,MATLAB; numerical analysis; programming; physical modeling; calculus; linear algebra; Monte Carlo Method; differential equations; nonlinear systems; variable types; data structure; flow control; probability; statistics; robotics,https://ocw.mit.edu/courses/mechanical-engineering/2-086-numerical-computation-for-mechanical-engineers-spring-2013
2.086,Numerical Computation for Mechanical Engineers,Fall,2014,MATLAB; numerical analysis; programming; physical modeling; calculus; linear algebra; Monte Carlo Method; differential equations; nonlinear systems; variable types; data structure; flow control; probability; statistics; robotics,https://ocw.mit.edu/courses/mechanical-engineering/2-086-numerical-computation-for-mechanical-engineers-fall-2014
2.087,Engineering Math: Differential Equations and Linear Algebra,Fall,2014,"differential equations, linear algebra, linear differential equations, ordinary, partial, vector space, first order, second order, Heaviside, delta, Dirac, exponential, sinusoid, real, complex, forced oscillations, Laplace transform, graph, nonlinear, source, sink, saddle, spiral, Euler, linearization, Guassian, matrix, mechanical engineer, eigenvector, eigenvalue, exponentiation, least squares",https://ocw.mit.edu/courses/mechanical-engineering/2-087-engineering-math-differential-equations-and-linear-algebra-fall-2014
2.092,Finite Element Analysis of Solids and Fluids I,Fall,2009,"finite element methods, solids, structures, fluid mechanics, heat transfer, equilibrium equations, direct integration, mode superposition, eigensolution techniques, frequencies, mode shapes, statics, dynamics, nonlinear systems, wave propagation",https://ocw.mit.edu/courses/mechanical-engineering/2-093-finite-element-analysis-of-solids-and-fluids-i-fall-2009
2.094,Finite Element Analysis of Solids and Fluids II,Spring,2011,"linear static analysis, solids, structures, nonlinear static analysis, heat transfer, fluid flows, finite element methods, ADINA, student work, beams, plates, shells, displacement, conduction, convection, radiation, Navier-Stokes, incompressible fluids, acoustic fluids",https://ocw.mit.edu/courses/mechanical-engineering/2-094-finite-element-analysis-of-solids-and-fluids-ii-spring-2011
2.12,Introduction to Robotics,Fall,2005,"robot; robot design; rescue; recovery; automation; dynamics; statics; intelligent control; planar and spatial kinematics; motion planning; manipulator; mobile robots, multi-rigid-body dynamics; 3D graphic simulation; control design; actuator; sensor; task modeling;human-machine interface; embedded software; servo, servomechanism; real-time control; computer vision; navigation; tele-robotics; virtual reality",https://ocw.mit.edu/courses/mechanical-engineering/2-12-introduction-to-robotics-fall-2005
2.14,Analysis and Design of Feedback Control Systems,Spring,2014,"feedback loops, control systems, compensation, Bode plots, Nyquist plots, state space, frequency domain, time domain, transfer functions, Laplace transform, root locus, op-amps, gears, motors, actuators, nonlinear systems, stability theory, control systems, dynamic feedback, mechanical engineering problem archive",https://ocw.mit.edu/courses/mechanical-engineering/2-14-analysis-and-design-of-feedback-control-systems-spring-2014
2.141,Modeling and Simulation of Dynamic Systems,Fall,2006,Modeling multi-domain engineering systems; design and control system implementation; Network representation; state-space models; Multi-port energy storage & dissipation; Legendre transforms; Nonlinear mechanics; transformation theory; Lagrangian & Hamiltonian forms; Control-relevant properties;  electro-mechanical transducers; mechanisms; electronics; fluid & thermal systems; compressible flow; chemical processes; diffusion; wave transmission.,https://ocw.mit.edu/courses/mechanical-engineering/2-141-modeling-and-simulation-of-dynamic-systems-fall-2006
2.154,Maneuvering and Control of Surface and Underwater Vehicles (13.49),Fall,2004,Maneuvering; motion; surface and underwater vehicles; Derivation of equations of motion; hydrodynamic coefficients; Memory effects; Linear and nonlinear forms; Control surfaces; modeling and design; Engine; propulsor; transmission systems modeling; simulation; Stability of motion; multivariable automatic control; Optimal control; Kalman filtering; loop transfer recovery; autopilots for surface vehicles; towing in open seas; remotely operated vehicles.,https://ocw.mit.edu/courses/mechanical-engineering/2-154-maneuvering-and-control-of-surface-and-underwater-vehicles-13-49-fall-2004
2.160,"Identification, Estimation, and Learning",Spring,2006,system identification; estimation; least squares estimation; Kalman filter; noise dynamics; system representation; function approximation theory; neural nets; radial basis functions; wavelets; volterra expansions; informative data sets; persistent excitation; asymptotic variance; central limit theorem; model structure selection; system order estimate; maximum likelihood; unbiased estimates; Cramer-Rao lower bound; Kullback-Leibler information distance; Akaike’s information criterion; experiment design; model validation. ,https://ocw.mit.edu/courses/mechanical-engineering/2-160-identification-estimation-and-learning-spring-2006
2.161,Signal Processing: Continuous and Discrete,Fall,2008,"analysis and processing of experimental data; real-time experimental control methods; spectral analysis; filter design; system identification; simulation in continuous and discrete-time domains; MATLAB, fast Fourier transform, correlation function, sampling, op-amps, Chebyshev, Laplace transform, Butterworth, convolution, frequency response, windowing, low-pass, poles, zeros
",https://ocw.mit.edu/courses/mechanical-engineering/2-161-signal-processing-continuous-and-discrete-fall-2008
